"Time","web_server_01","web_server_02","web_server_03","web_server_04"
2022-05-26 01:47:00,25.6,25.6,25.4,28.6
2022-05-26 01:47:10,26.3,26.2,25.3,29.5
2022-05-26 01:47:20,28.7,29.6,26.2,27.6
2022-05-26 01:47:30,27.5,29.2,26.9,27.4
2022-05-26 01:47:40,27.2,27.1,26.9,27.7
2022-05-26 01:47:50,27.1,26.5,28.6,28.8
2022-05-26 01:48:00,25.9,25.2,28.6,29.5
2022-05-26 01:48:10,26.9,25.5,25.4,28.2
2022-05-26 01:48:20,27.4,27.6,25.2,28.6
2022-05-26 01:48:30,29.1,31.3,27,27.2
2022-05-26 01:48:40,30.9,31.2,29.1,25.6
2022-05-26 01:48:50,29.3,27.4,30.6,27.5
2022-05-26 01:49:00,27.5,27.1,27.7,26.9
2022-05-26 01:49:10,26.0,27,28.1,26.1
2022-05-26 01:49:20,25.4,25.5,28,26.5
2022-05-26 01:49:30,25.2,26.2,25.7,25.8
2022-05-26 01:49:40,25.6,26.5,25.1,26.7
2022-05-26 01:49:50,27.6,25.7,25.8,28.4
2022-05-26 01:50:00,27.8,28.2,26.9,27.4
2022-05-26 01:50:10,28.4,29.6,26.9,26.3
2022-05-26 01:50:20,30.8,29.8,29.9,28.1
2022-05-26 01:50:30,29.5,29.3,31.1,31.0
2022-05-26 01:50:40,27.8,28.6,26.7,30
2022-05-26 01:50:50,28.8,29.9,25.5,26.8
2022-05-26 01:51:00,31.3,30.7,27.2,27.9
2022-05-26 01:51:10,30,28.9,28.6,30.4
2022-05-26 01:51:20,27.8,29.9,27.7,29.8
2022-05-26 01:51:30,27.7,31.6,28.5,28.4
2022-05-26 01:51:40,28.4,30.5,29.9,29.7
2022-05-26 01:51:50,29.4,30.2,29.7,29.5
2022-05-26 01:52:00,28.4,31.5,29.7,29.9
2022-05-26 01:52:10,27.1,30.6,29.5,29.5
2022-05-26 01:52:20,27.8,28.2,30.5,28.6
2022-05-26 01:52:30,28.3,28.9,29.6,30.7
2022-05-26 01:52:40,28.8,28.1,28.5,28.9
2022-05-26 01:52:50,28.7,28.4,29.5,27.5
2022-05-26 01:53:00,27.6,30.2,30.1,28.0
2022-05-26 01:53:10,29.2,29.4,28.1,29.4
2022-05-26 01:53:20,30.6,29.9,27.6,30.2
2022-05-26 01:53:30,29.2,29.1,29.5,30.7
2022-05-26 01:53:40,27.2,28.2,29.4,31.4
2022-05-26 01:53:50,27.4,28.1,28.5,29.1
2022-05-26 01:54:00,29.9,28.6,29.4,29.6
2022-05-26 01:54:10,29.2,28.2,30.0,28.7
2022-05-26 01:54:20,28.5,28.2,28.9,28.4
2022-05-26 01:54:30,30.8,31.8,29.1,29.1
2022-05-26 01:54:40,30.3,31.4,29.1,27.2
2022-05-26 01:54:50,26.8,28.2,29.6,28.6
2022-05-26 01:55:00,26.9,28.8,29.8,29.6
2022-05-26 01:55:10,30.2,30.4,28.2,27
2022-05-26 01:55:20,31,28.8,29.7,28.5
2022-05-26 01:55:30,29.9,28.2,30.1,31.5
2022-05-26 01:55:40,28.6,28.8,28.6,31.1
2022-05-26 01:55:50,27.6,26.2,28.5,29.9
2022-05-26 01:56:00,26.6,24.9,27.6,29.4
2022-05-26 01:56:10,26.7,27.5,26.6,29.3
2022-05-26 01:56:20,25.9,28.1,28.2,27.6
2022-05-26 01:56:30,26.0,27.2,28.7,28.6
2022-05-26 01:56:40,27.7,27.6,29.3,29.0
2022-05-26 01:56:50,26.5,28,30.4,28.9
2022-05-26 01:57:00,26.8,28.3,28.1,28.7
2022-05-26 01:57:10,29.1,29.2,26.1,26.7
2022-05-26 01:57:20,29.6,29.4,28.5,27
2022-05-26 01:57:30,29.3,27,29.7,28.6
2022-05-26 01:57:40,28.9,27.6,27,29.1
2022-05-26 01:57:50,30.6,29.6,26.0,27.9
2022-05-26 01:58:00,30.0,28.1,29,28.9
2022-05-26 01:58:10,28,26.8,29.2,31.8
2022-05-26 01:58:20,31.3,29.0,27,28.6
2022-05-26 01:58:30,30.5,29.2,28.4,27.3
2022-05-26 01:58:40,29.3,28.4,29,30.3
2022-05-26 01:58:50,30.8,28,30.1,30.1
2022-05-26 01:59:00,29.6,28.2,29.8,29.1
2022-05-26 01:59:10,28.9,29.9,28.1,28.8
2022-05-26 01:59:20,29.0,28.1,27.9,30.0
2022-05-26 01:59:30,30.2,27.3,27.8,29.1
2022-05-26 01:59:40,30.2,26,28.9,27.7
2022-05-26 01:59:50,29.5,31.8,30.9,29.7
2022-05-26 02:00:00,27.2,29.8,31.2,31.1
2022-05-26 02:00:10,27.2,28.3,28.7,30.2
2022-05-26 02:00:20,31.2,28.4,29.4,28.6
2022-05-26 02:00:30,32.8,28.6,30.3,29
2022-05-26 02:00:40,29.9,29.2,29.5,30.3
2022-05-26 02:00:50,30.2,29,29.4,31.3
2022-05-26 02:01:00,30.7,27.3,29.4,28.4
2022-05-26 02:01:10,30.3,28.1,30.8,28.5
2022-05-26 02:01:20,25.5,30.7,30.4,30.8
2022-05-26 02:01:30,27.6,31.7,29.0,29.9
2022-05-26 02:01:40,28.8,29.7,28.6,29.4
2022-05-26 02:01:50,30.4,28.8,29.1,30
2022-05-26 02:02:00,30.7,28.7,29.9,31.7
2022-05-26 02:02:10,28.1,28.4,29.2,30.9
2022-05-26 02:02:20,26.8,28.6,29.6,28.9
2022-05-26 02:02:30,29.3,27.7,29.6,28.1
2022-05-26 02:02:40,29.5,27.3,27.4,29.2
2022-05-26 02:02:50,27.8,26.5,27.5,29.2
2022-05-26 02:03:00,30.4,28.5,29.6,26.9
2022-05-26 02:03:10,31.8,30.6,29.8,27.2
2022-05-26 02:03:20,29.8,29.0,28.6,28.9
2022-05-26 02:03:30,29.3,29.1,28.7,29.8
2022-05-26 02:03:40,30.8,32.7,29.9,29.1
2022-05-26 02:03:50,30.6,33.2,29.5,30.1
2022-05-26 02:04:00,30.3,29.9,29.2,31.1
2022-05-26 02:04:10,31.2,29.0,30.4,29.1
2022-05-26 02:04:20,31.9,30.1,31.2,31.0
2022-05-26 02:04:30,31.4,28.5,31.3,32.7
2022-05-26 02:04:40,29.9,27.9,29.9,30.3
2022-05-26 02:04:50,30.3,28.4,28.6,28.3
2022-05-26 02:05:00,31.1,27.3,28.9,28.9
2022-05-26 02:05:10,29.0,29.1,28.6,28.8
2022-05-26 02:05:20,27.0,29.6,26.9,28.2
2022-05-26 02:05:30,28.6,29.6,27.7,28.7
2022-05-26 02:05:40,28.4,30.4,31.3,28.6
2022-05-26 02:05:50,29.2,29.9,31.6,28.9
2022-05-26 02:06:00,30,28.6,30.0,29.6
2022-05-26 02:06:10,28.9,28.3,30.7,28.6
2022-05-26 02:06:20,29.2,28.7,30.5,27.7
2022-05-26 02:06:30,30.0,29.8,31.1,28.7
2022-05-26 02:06:40,29.2,28.6,30.2,29.5
2022-05-26 02:06:50,27.7,28.5,28.8,29.9
2022-05-26 02:07:00,30.3,31.0,30.2,29.4
2022-05-26 02:07:10,30.4,28.3,28.9,30.5
2022-05-26 02:07:20,26.8,26.1,28.3,29.2
2022-05-26 02:07:30,27.7,26.6,29.7,27.4
2022-05-26 02:07:40,29.9,27.5,30.3,29.1
2022-05-26 02:07:50,31.8,29.3,30,30.3
2022-05-26 02:08:00,29.9,28.5,28.1,30.4
2022-05-26 02:08:10,28.5,29.5,26.8,29.6
2022-05-26 02:08:20,28.6,31.2,29.9,29.2
2022-05-26 02:08:30,30.0,30.6,31.3,28.9
2022-05-26 02:08:40,30.1,27.8,27.9,27.9
2022-05-26 02:08:50,27.4,27.9,27.4,26.3
2022-05-26 02:09:00,26.6,28,27.5,26.6
2022-05-26 02:09:10,26.9,26.7,25.9,27.1
2022-05-26 02:09:20,30.4,29.5,28.4,27.5
2022-05-26 02:09:30,31.4,31,30.8,28.9
2022-05-26 02:09:40,29.7,28.7,29.0,28.5
2022-05-26 02:09:50,27.4,25,27.6,27.8
2022-05-26 02:10:00,27.3,25.4,28.1,27.5
2022-05-26 02:10:10,27.1,26.7,25.5,30.1
2022-05-26 02:10:20,26.9,27.3,24.2,30.2
2022-05-26 02:10:30,26.3,28.4,26.2,26.9
2022-05-26 02:10:40,26.5,29.6,28.1,25.5
2022-05-26 02:10:50,28.7,28.4,28.9,27.4
2022-05-26 02:11:00,28.6,27.5,30,29.5
2022-05-26 02:11:10,28.1,25.9,24.3,28.7
2022-05-26 02:11:20,29.9,25.1,24.9,28.0
2022-05-26 02:11:30,31.0,26,25.4,28.5
2022-05-26 02:11:40,29.5,25.3,26.7,30.1
2022-05-26 02:11:50,29.4,26.1,25.5,28.5
2022-05-26 02:12:00,31.5,27.7,25.9,29
2022-05-26 02:12:10,31.7,27.7,27.3,31.8
2022-05-26 02:12:20,28.9,25.9,28.7,29.4
2022-05-26 02:12:30,28.4,25.2,27.6,27.5
2022-05-26 02:12:40,29.8,27.2,27.2,29.2
2022-05-26 02:12:50,28.6,30.3,30.3,30.1
2022-05-26 02:13:00,27.1,30.2,29.1,28.5
2022-05-26 02:13:10,26.3,27.5,27.6,28.4
2022-05-26 02:13:20,26,27.9,26.5,28.6
2022-05-26 02:13:30,26.5,27.3,25.9,27.4
2022-05-26 02:13:40,27.9,27.4,26.8,26.9
2022-05-26 02:13:50,29,28.9,27.5,28.1
2022-05-26 02:14:00,29.5,27.0,27.8,28.2
2022-05-26 02:14:10,27,25.0,26.9,29.3
2022-05-26 02:14:20,24.3,25.1,26.7,29.8
2022-05-26 02:14:30,26.2,28.6,26.1,27.3
2022-05-26 02:14:40,30.1,29.7,28.1,29.1
2022-05-26 02:14:50,28.9,26.3,29.6,30.7
2022-05-26 02:15:00,25.9,23.1,28.3,28.0
2022-05-26 02:15:10,25.6,22.4,27.3,25.7
2022-05-26 02:15:20,24,22.6,24.5,23.2
2022-05-26 02:15:30,20.8,22.8,23,21.4
2022-05-26 02:15:40,20.0,22.6,22.1,21.6
2022-05-26 02:15:50,21.7,22.7,22.3,23
2022-05-26 02:16:00,23.9,26,22.1,23.6
2022-05-26 02:16:10,24.2,25.3,22.6,25.7
2022-05-26 02:16:20,22.3,22.5,23.3,26.6
2022-05-26 02:16:30,22.6,22.7,21.8,23.2
2022-05-26 02:16:40,27.4,25.3,23.3,22.5
2022-05-26 02:16:50,30.8,27.3,26.3,27.9
2022-05-26 02:17:00,31.2,30.3,29.8,31.3
2022-05-26 02:17:10,32.5,32.2,32.5,31.4
2022-05-26 02:17:20,33.4,30.9,32.9,31.7
2022-05-26 02:17:30,33.3,31.1,31.7,32.3
2022-05-26 02:17:40,34.2,33.6,30.5,31.8
2022-05-26 02:17:50,33.6,34.1,30.2,32.1
2022-05-26 02:18:00,31.2,33.0,31.4,32.3
2022-05-26 02:18:10,31.8,33.6,31.8,31.5
2022-05-26 02:18:20,32.5,32.2,31.9,31.3
2022-05-26 02:18:30,33.6,30.6,31.9,31.2
2022-05-26 02:18:40,35.7,31.9,30.7,31.7
2022-05-26 02:18:50,32.5,33.5,30.2,33.3
2022-05-26 02:19:00,29.4,30.4,30.2,31.6
2022-05-26 02:19:10,28.1,28.6,28.4,27.7
2022-05-26 02:19:20,28.4,30.2,26.9,28.4
2022-05-26 02:19:30,29.4,30.9,29.7,29.7
2022-05-26 02:19:40,29.8,32.7,31.6,29.8
2022-05-26 02:19:50,30.1,31.8,32,29.0
2022-05-26 02:20:00,29.8,29.6,31.4,28.0
2022-05-26 02:20:10,30.2,29.6,29.2,28.2
2022-05-26 02:20:20,27.7,27.4,28.1,27.9
2022-05-26 02:20:30,25.7,26.1,28.7,26.2
2022-05-26 02:20:40,26.9,26.0,27.8,24.8
2022-05-26 02:20:50,29.3,27.7,26.5,26.5
2022-05-26 02:21:00,28.8,27.5,29.2,29.3
2022-05-26 02:21:10,26.7,26.5,30.6,29.1
2022-05-26 02:21:20,28.1,28.6,28.1,28.1
2022-05-26 02:21:30,29.1,27.4,29.1,29.2
2022-05-26 02:21:40,28.6,27.3,30.3,29.2
2022-05-26 02:21:50,27.8,28.9,28.9,28.4
2022-05-26 02:22:00,27.2,27.9,27.0,27.8
2022-05-26 02:22:10,26.7,26.7,26.3,27.5
2022-05-26 02:22:20,28.3,27.4,26.2,26.9
2022-05-26 02:22:30,28.7,26.9,27.6,26.6
2022-05-26 02:22:40,28.6,27.6,29.7,26.7
2022-05-26 02:22:50,29.2,28.1,29.9,26.5
2022-05-26 02:23:00,27.3,27.1,29.2,26.6
2022-05-26 02:23:10,29.9,28.8,27.3,26.6
2022-05-26 02:23:20,31.9,30.0,27.4,29.1
2022-05-26 02:23:30,30.2,28.6,28.2,32.0
2022-05-26 02:23:40,30.2,27.6,27.8,30.2
2022-05-26 02:23:50,28.9,27.8,27.3,26.8
2022-05-26 02:24:00,29.5,28.2,26.7,27.1
2022-05-26 02:24:10,29,27,28.1,29.7
2022-05-26 02:24:20,26.4,27,27.6,28.0
2022-05-26 02:24:30,26.6,28.2,27,28.0
2022-05-26 02:24:40,28.4,27.3,26.8,28.3
2022-05-26 02:24:50,29.4,28.7,28.1,25.4
2022-05-26 02:25:00,29.2,29.0,30.9,26.4
2022-05-26 02:25:10,28.6,25.3,30.2,27.6
2022-05-26 02:25:20,26.9,24.7,28.0,26.4
2022-05-26 02:25:30,27.4,27.8,26.7,26.4
2022-05-26 02:25:40,28.3,29.3,27.8,27.6
2022-05-26 02:25:50,28,28.1,28.0,28.6
2022-05-26 02:26:00,26.9,27.2,27.0,27.8
2022-05-26 02:26:10,26.2,25.3,26.9,28.7
2022-05-26 02:26:20,27.3,27.3,27.9,29.8
2022-05-26 02:26:30,28.4,30.5,28.2,26.9
2022-05-26 02:26:40,26.9,28.7,26.9,27.0
2022-05-26 02:26:50,26.8,29.0,26.1,28.4
2022-05-26 02:27:00,28.8,30.2,28.7,29.3
2022-05-26 02:27:10,29.3,29.0,28.9,30.9
2022-05-26 02:27:20,28.0,28.7,28.1,29.3
2022-05-26 02:27:30,26.0,27.3,29.4,29.1
2022-05-26 02:27:40,25.2,25.1,27.9,27
2022-05-26 02:27:50,26.0,26.4,25.1,24.5
2022-05-26 02:28:00,27.7,27.1,24.9,27.9
2022-05-26 02:28:10,28,27.3,26.9,29.3
2022-05-26 02:28:20,27.7,28.3,26.5,28.4
2022-05-26 02:28:30,27.1,26.8,26.6,28.3
2022-05-26 02:28:40,26.7,27.1,25.9,26.1
2022-05-26 02:28:50,27.3,27.9,25.5,26
2022-05-26 02:29:00,27.8,28.3,27.7,27.7
2022-05-26 02:29:10,28.7,29,28.7,28.8
2022-05-26 02:29:20,27.6,27.9,28.4,28.4
2022-05-26 02:29:30,26.0,26.2,27.9,27.6
2022-05-26 02:29:40,27.9,26.2,27.2,28.1
2022-05-26 02:29:50,28.6,28.2,26.8,27.2
2022-05-26 02:30:00,28.3,27.7,28.5,27.3
2022-05-26 02:30:10,28.3,27.6,28.9,26.7
2022-05-26 02:30:20,28.6,29.8,27.3,26.6
2022-05-26 02:30:30,28.3,28.4,26.3,27.4
2022-05-26 02:30:40,26.2,27.2,28.8,27.8
2022-05-26 02:30:50,26.0,28.5,28.3,28.7
2022-05-26 02:31:00,27.9,29.1,25.7,30.7
2022-05-26 02:31:10,27.9,29.7,28.9,30.7
2022-05-26 02:31:20,26.3,28.9,29.5,28.1
2022-05-26 02:31:30,26.6,28.1,29.8,27.7
2022-05-26 02:31:40,29.1,28.1,28.4,28.2
2022-05-26 02:31:50,29.5,28.5,27.8,29.1
2022-05-26 02:32:00,27.4,27.2,29.4,28.7
2022-05-26 02:32:10,25.9,26.7,27.4,27.2
2022-05-26 02:32:20,25.5,27.7,26.1,26.6
2022-05-26 02:32:30,26.7,26.4,27.7,26.8
2022-05-26 02:32:40,26.8,26,28.3,27.1
2022-05-26 02:32:50,25.4,25.6,26.0,24.9
2022-05-26 02:33:00,25.6,25.1,25.1,24.0
2022-05-26 02:33:10,28.5,27,26.0,24.8
2022-05-26 02:33:20,28.8,28.7,27.8,26.7
2022-05-26 02:33:30,28.0,28.1,29.6,30.3
2022-05-26 02:33:40,29.1,27.1,29.2,28.9

